ID,animal_name,体毛,羽毛,卵生,乳,空を飛ぶ,水生,捕食者,歯,背骨,肺呼吸,毒を持つ,ヒレ,しっぽ,家畜化,猫サイズ,type,足が0本,足が2本,足が4本,足が5本,足が6本,足が8本
0,ツチブタ,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0
1,レイヨウ,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
2,スズキ,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0
3,クマ,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0
4,イノシシ,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
5,バッファロー,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
6,子牛,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0
7,コイ,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,4,1,0,0,0,0,0
8,ナマズ,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0
9,テンジクネズミ,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0
10,チーター,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
11,ニワトリ,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,0,1,0,0,0,0
12,ウグイ,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0
13,ハマグリ,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0
14,カニ,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0
15,ザリガニ,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0
16,カラス,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0
17,シカ,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
18,ドッグフィッシュ,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,4,1,0,0,0,0,0
19,イルカ,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0
20,ハト,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,0,1,0,0,0,0
21,アヒル,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0
22,ゾウ,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
23,フラミンゴ,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,2,0,1,0,0,0,0
24,ノミ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0
25,カエル,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,5,0,0,1,0,0,0
26,毒ガエル,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,5,0,0,1,0,0,0
27,フルーツコウモリ,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0
28,キリン,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
29,女の子,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0
30,ブヨ,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0
31,ヤギ,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0
32,ゴリラ,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0
33,カモメ,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0
34,コダラ,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0
35,ハムスター,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0
36,ノウサギ,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0
37,タカ,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0
38,ニシン,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0
39,ミツバチ,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,1,0
40,イエバエ,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0
41,キウイ,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0
42,テントウムシ,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0
43,ヒバリ,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0
44,ヒョウ,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
45,ライオン,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
46,ロブスター,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0
47,オオヤマネコ,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
48,ミンク,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
49,モグラ,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0
50,マングース,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
51,ガ,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0
52,イモリ,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,5,0,0,1,0,0,0
53,タコ,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1
54,フクロネズミ,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0
55,オリックス,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
56,ダチョウ,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,2,0,1,0,0,0,0
57,インコ,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,0,1,0,0,0,0
58,ペンギン,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,2,0,1,0,0,0,0
59,キジ,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0
60,カワカマス,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,4,1,0,0,0,0,0
61,ピラニア,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0
62,クサリヘビ,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,3,1,0,0,0,0,0
63,カモノハシ,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0
64,ケナガイタチ,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
65,ポニー,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0
66,ネズミイルカ,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0
67,ピューマ,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
68,ネコ,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0
69,アライグマ,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
70,トナカイ,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0
71,レア,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,2,0,1,0,0,0,0
72,サソリ,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,7,0,0,0,0,0,1
73,タツノオトシゴ,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0
74,アザラシ,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0
75,アシカ,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0
76,ウミヘビ,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,3,1,0,0,0,0,0
77,サソリクラゲ,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0
78,クロハサミアジサシ,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0
79,トウゾクカモメ,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0
80,スローワーム,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,3,1,0,0,0,0,0
81,ナメクジ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0
82,シタビラメ,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,4,1,0,0,0,0,0
83,スズメ,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0
84,リス,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0
85,ヒトデ,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0
86,エイ,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,4,1,0,0,0,0,0
87,ハクチョウ,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,2,0,1,0,0,0,0
88,シロアリ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0
89,ヒキガエル,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,5,0,0,1,0,0,0
90,リクガメ,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,3,0,0,1,0,0,0
91,ムカシトカゲ,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,3,0,0,1,0,0,0
92,マグロ,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,4,1,0,0,0,0,0
93,吸血コウモリ,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0
94,ハタネズミ,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0
95,ハゲワシ,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,2,0,1,0,0,0,0
96,ワラビー,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0
97,スズメバチ,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,1,0
98,オオカミ,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
99,ミミズ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0
100,ミソサザイ,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0