,animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize,type,legs_0,legs_2,legs_4
0,aardvark,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1
1,antelope,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1
2,bass,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0
3,bear,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1
4,boar,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1
5,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1
6,calf,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1
7,carp,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,4,1,0,0
8,catfish,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0
9,cavy,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1
10,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1
11,chicken,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,0,1,0
12,chub,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0
16,crow,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,2,0,1,0
17,deer,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1
18,dogfish,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,4,1,0,0
19,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0
20,dove,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,0,1,0
21,duck,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,2,0,1,0
22,elephant,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1
23,flamingo,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,2,0,1,0
27,fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0
28,giraffe,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1
29,girl,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0
31,goat,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1
32,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0
33,gull,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,2,0,1,0
34,haddock,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,4,1,0,0
35,hamster,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1
36,hare,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1
37,hawk,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,2,0,1,0
38,herring,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0
41,kiwi,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,2,0,1,0
43,lark,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2,0,1,0
44,leopard,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1
45,lion,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1
47,lynx,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1
48,mink,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1
49,mole,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1
50,mongoose,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1
54,opossum,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1
55,oryx,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1
56,ostrich,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,2,0,1,0
57,parakeet,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,0,1,0
58,penguin,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,2,0,1,0
59,pheasant,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2,0,1,0
60,pike,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,4,1,0,0
61,piranha,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,1,0,0
63,platypus,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1
64,polecat,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1
65,pony,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1
66,porpoise,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0
67,puma,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1
68,pussycat,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1
69,raccoon,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1
70,reindeer,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1
71,rhea,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,2,0,1,0
73,seahorse,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,4,1,0,0
74,seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0
75,sealion,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0
78,skimmer,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,2,0,1,0
79,skua,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,2,0,1,0
82,sole,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,4,1,0,0
83,sparrow,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2,0,1,0
84,squirrel,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0
86,stingray,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,4,1,0,0
87,swan,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,2,0,1,0
92,tuna,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,4,1,0,0
93,vampire,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0
94,vole,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1
95,vulture,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,2,0,1,0
96,wallaby,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0
98,wolf,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1
100,wren,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2,0,1,0
